Title,Sentiment Score
"Panasonic CEO issues ultimatum to managers: Deliver results, or be replaced",1.0
Sedans are the future?,1.0
Elon Musk confirms the Tesla Robotaxi event has been delayed to October,0.0
"Tesla Stock Rises as Musk Reschedules Robotaxi Event, Endorses Trump",1.0
NASA Probe Tied Its Own Speed Record as the Fastest Human-Made Object Ever,1.0
NASA Probe Ties Its Own Speed Record as the Fastest Human-Made Object Ever,1.0
Big Auto Eyes $2B in Govt Grants to Boost EV Production,1.0
Think Nvidia Stock Has More Room To Run? This Formula Helps You Hold Eye-Popping Gains.,1.0
Ransomware groups target Veeam Backup & Replication bug,1.0
Tesla let a man sell his Cybertruck after it couldn't fit in his garage,0.0
Republicans celebrate Trump’s decision to name JD Vance as his veep: ‘Proven conservative’,1.0
Elon Musk explains why Tesla's Robotaxi event is delayed,0.0
Tesla CEO Elon Musk appears to confirm delay in Aug. 8 robotaxi unveil event to make design change,0.5
Elon Musk says Tesla needs 'extra time' to redesign the front of its Robotaxi before the big reveal,1.0
Elon Musk Posts Garbled AI-Generated Image of Cybertruck,1.0
Elon Musk supports new VP candidate that would crush Tesla’s sales in the US,2.0
Why I'd still call the FANG+ ETF a buy,1.0
Mark Cuban worries algorithms will decide the president in 2024,1.0
"Trump Media, gun stocks surge after assassination attempt",1.0
"Tesla Stock Rises as Musk Reschedules Robotaxi Event, Endorses Trump",1.0
"Tesla Stock Rises as Musk Reschedules Robotaxi Event, Endorses Trump",1.0
Elon Musk confirms Tesla ‘robotaxi’ event delayed due to design change,0.0
Jack Black's band under fire after bandmate makes dark 'wish' after Trump assassination attempt,1.0
Tesla CEO Elon Musk appears to confirm delay in Aug. 8 robotaxi unveil event to make design change,0.5
Tesla CEO Elon Musk appears to confirm delay in Aug. 8 robotaxi unveil event to make design change,0.5
Tesla CEO Elon Musk appears to confirm delay in Aug. 8 robotaxi unveil event to make design change,0.5
Elon Confirms Tesla FSD 12.5 is Testing and Near Release,1.0
Tesla CEO Elon Musk appears to confirm delay in Aug. 8 robotaxi unveil event to make design change,0.5
Tesla CEO Elon Musk appears to confirm delay in Aug. 8 robotaxi unveil event to make design change,0.5
Jim Cramer on Tesla Inc (NASDAQ:TSLA): ‘This Thing Has a Lot of Momentum’,1.0
Wall Street gains as investors bet on second Trump term,1.0
Elon Musk confirms the Tesla Robotaxi event has been delayed to October,0.0
"Could the $54,000 Cadillac Optiq Be a Huge Hit?",1.0
"Billionaire Ken Griffin Just Donated $100,000 To Victims Of Trump Rally Shooting",1.0
The billionaires backing Trump won’t put him over the top,0.0
‘Try Turo’: Woman warns using Avis or Budget rental cars when she books 8 months in advance of her trip. It backfires,1.0
8 Electric Vehicles That May Last You Twice as Long as the Average Car,1.0
Bloomberg Businessweek’s editor believes print remains the ultimate “distraction-free news product”,2.0
Elon Musk confirms the Tesla Robotaxi event has been delayed to October,0.0
"Worx Landroid robot mower at new low, EcoFlow’s final 24-hour power station flash sale, 1-day Rexing EV charger and adapter deals, more",1.0
"NVIDIA Might Be Worth $50 Trillion By The Next Decade, Estimates Early Tesla & Amazon Investor",1.0
Musk says he asked for a key design change that delays robotaxi reveal,0.0
Musk insists he's an 'alien'...,1.0
'Trump Trade' is back in focus after the assassination attempt. Here's what it is and why it matters,1.0
11 tips for a smooth EV road trip -- without the range anxiety,1.0
Elon Musk mulls building an Iron Man ‘flying metal suit of armor’ after Trump assassination attempt,0.0
"Elon Musk confirms Tesla Robotaxi delay, says front design change",1.0
‘Headed For Obsolescence’: Chinese Automakers Could Be Poised To Wipe Out American Car Titans,1.0
Longtime Trump foe Jeff Bezos praises former president’s ‘grace under literal fire’ after assassination attempt,1.0
Burlington Stores will open in old Lincoln Sears building,1.0
Automotive Tire Market Valuation Set to Surpass USD 728.88 Billion By 2032 | Astute Analytica,1.0
Electric Vehicle Charging Stations - Toyota Becomes a Founder Partner of Ionna Charging Stations (TrendHunter.com),1.0
UPDATE: FBI Still Grappling with Thomas Matthew Crooks’ Motive Despite 70% Completion of Phone Analysis — Will Also Check Shooter’s Laptop,1.0
Elon Musk immediately made the Trump assassination attempt about himself,1.0
"Elon Musk Says People Have Tried to Kill Him, Muses About Building ""Flying Metal Suit of Armor"" as Defense",1.0
Car Experts Say Don’t Buy These Luxury Cars That Will Drain Your Bank Account Quick,1.0
Jarden Wealth Weekly: Four ways to manage your emotions in this market,1.0
Trump Media stock soars 50% after assassination attempt as election victory looks more likely,0.0
The ‘Magnificent Seven’ stocks grew 46% in the last 5 years. How much longer does the term have to run?,0.5
Musk says he requested extra time for design change to Tesla robotaxi,1.0
Musk says he requested extra time for design change to robotaxi,1.0
Musk says he requested extra time for design change to Tesla robotaxi,1.0
"World's richest man, other billionaires rally around Trump after assassination attempt",1.0
"The stars have aligned for this corner of the stock market as the US economy enters its 'Goldilocks' era, BofA says",1.0
Trump Media stock price surges after assassination attempt seen as boosting Donald Trump's reelection odds - CBS News,0.0
Italy and Spain back China EV tariffs,1.0
How To Create A ‘Safe Space’ For AI Experimentation,1.0
Elon Musk Is Making a Bad Situation Worse,0.0
‘Headed For Obsolescence’: Chinese Automakers Could Be Poised To Wipe Out American Car Titans,1.0
