Title,Sentiment Score
Trump fights for the crypto vote at Bitcoin conference,1.0
"Bitcoin approaches $70,000 in six-week high amid Trump support",1.0
Learn-to-Earn Token Presale Ends Soon – Invest Now Before the IEO,1.0
Could Sen. Lummis' Bitcoin Legislation Slash National Debt?,1.0
Photographer Pete Souza Deletes X Account After Controversial Trump Post,1.0
"Bitcoin nears $70,000, boosted by Trump's Bitcoin promises",1.0
"Bitcoin, Bitcoin Cash, Ether, and more: Top crypto to watch this week",1.0
Donald Trump's Bitcoin promises send the cryptocurrency's price higher,1.0
2:00PM Water Cooler 7/29/2024,1.0
In praise of The New York Times and The Washington Post,1.0
President Trump Wants America To Become The World’s “Bitcoin Superpower”,1.0
Bitcoin As Reserve Currency – A New Geopolitical Force,1.0
Donald Trump's bitcoin obsession,1.0
Trump Says Bitcoin Is Going to the Moon. Here's What That Means,1.0
Trump's Talk of Bitcoin Reserve for the U.S. Leaves Industry Waiting for More Details,1.0
Donald Trump's promises to the crypto world face an uphill fight in DC,1.0
[Removed],1.0
Polymarket Whales Favor Trump as Election Betting Surges Past $400M,1.0
Bitcoin Pulls Back Sharply After Touching $70K,0.0
"Bitcoin Nears $70K on Back of Trump's Speech, Bitcoin Cash and Base Memecoins Lead Crypto Market Gains",1.0
CoinDesk 20 Performance Update: BCH's 21% Surge Leads Index Gain,1.0
Bitcoin Tumbles Below $67K as U.S. Government Moves $2B of 'Silk Road' Tokens,1.0
"Bitcoin Nashville Conference in Pictures: Orange Athena, Pink Suits, Polymarket Swag, Trump's Song",1.0
Trump's Talk of Bitcoin Reserve for the U.S. Leaves Industry Waiting for More Details,1.0
The Clock Has Ticked for Bitcoin's Price Surge 100 Days After the Halving,1.0
First Mover Americas: Bitcoin Rises to Nearly $70K After Trump's BTC 2024 Speech,1.0
"Stock market news today: S&P 500, Nasdaq gain to kick off huge week for markets",1.0
Community Solar Beats Scary Headlines About Electricity Any Day Of The Week,1.0
Donald Trump Promises a US Bitcoin Superpower and To Never Sell $BTC,0.0
Donald Trump Campaign Collects Over $4 Million in Crypto Donations,1.0
"Pro-Crypto Advocacy & Policies Boost Innovative AI Projects – $WAI Presale Ends in 1 Day, Raising Over $8M",1.0
[Removed],1.0
[Removed],1.0
[Removed],1.0
Kamala Harris Needs to Put Arrogant Plutocratic Donors in Their Place,1.0
[Removed],1.0
Michael Saylor Predicts $280T Bitcoin Market Cap at Nashville Conference,1.0
"Bitcoin Approaches $70,000 in Wake of Trump’s Pro-Crypto Speech",1.0
Donald Trump's promises to the crypto world face an uphill fight in DC,1.0
US-listed crypto stocks jump after Trump's pro-bitcoin speech,1.0
"Stock market news today: S&P 500, Nasdaq inch higher to kick off huge week for markets",1.0
"Futures rise as Fed verdict, Big Tech results expected this week",1.0
"Wall Street Rises Ahead Of Big Tech Earnings, Fed Meeting; Tesla Rebounds, Oil Prices Drop To 7-Week Lows: What's Driving Markets Monday?",1.0
"Brazenly flip-flopping, Trump adds crypto to his MAGA agenda",1.0
Could Bitcoin Be The Future Of 1031 Exchanges?,1.0
Donald Trump Shades Miley Cyrus For Billy Ray’s Sake in Bizarre Speech,1.0
New photos of Trump’s ear have left-wingers doubling down on conspiracy he wasn’t shot,0.0
Belarus-linked APT Ghostwriter targeted Ukraine with PicassoLoader malware,1.0
Fake Falcon crash reporter installer used to target German Crowdstrike users,1.0
Acronis Cyber Infrastructure bug actively exploited in the wild,1.0
Harris has low IQ – Trump,0.0
Guarding Privacy: Cutting-Edge Technologies for Data Protection,1.0
I hate being slow?,1.0
This smart ring for fitness freaks nearly beats Oura. Here's how,1.5
"CrowdStrike, AT&T, and the Role of Resiliency in Banking",1.0
"North Korean hacker indicted for hacking, stealing military secrets and extortion",1.0
Donald Trump's bitcoin obsession,1.0
Gupta Media expands in Back Bay,1.0
Musk Faces Pressure From Crypto Community To Restore Bitcoin Emoji On X,1.0
"Bitcoin 2024 Keynote: Who Nailed It, RFK Jr. Or Donald Trump?",1.0
"'Make Everybody Rich:' Donald Trump, Bitcoin 2024, What's New For Cryptocurrency",1.0
"Bitcoin 2024 Key Takeaways: $BTC-Centric Executive Orders, Strategic Reserve Bill, Firing Gensler",1.0
Crypto Community Calls Out Mike Alfred For 'Declining' Harris Team's Roundtable Offer,1.0
Crypto's 'Outsized Impact': 14 Democratic Reps Urge DNC To Take 'Forward-Looking Approach',2.0
Asian Shares Eye Declines Ahead of Rate Decisions: Markets Wrap,1.0
US-listed crypto stocks jump after Trump's pro-bitcoin speech,1.0
24 Hours in Trump’s Code-Switching Campaign,1.0
Bitcoin hits 6-week high in wake of Trump’s pro-crypto speech,1.0
"Crypto, As a Political Characteristic (Hamilton Nolan/How Things Work)",1.0
Trump says US should be crypto ‘superpower’,1.0
"Bitcoin near $70,000 as investors digest Trump crypto comments, look ahead to central bank meetings",1.0
New Vanguard CEO says improving customer experience is a 'very high' priority and AI could help,2.0
How Social Media and Crypto Help Organ Traffickers,1.0
"Bitcoin jumps 7% on bullish Trump remarks, reports of a Democratic ‘reset’",0.0
"Crypto Analyst Charts Bitcoin Course To New $77,604 All-Time High",1.0
"Donald Trump Reveals Plans For US Government’s 213,239 Bitcoin If Elected",1.0
Bitcoin Price Poised for Fresh Pump: Market Prepares for Upswing,1.0
